date,contact_name,invoice_number,reference,total,amount_due,days_old,project_code,status
2025-09-02,Palm Island Motel,6D1D49DE4A/RC,,514,514,218,ACT-GD,AUTHORISED
2025-09-30,Maleny Hardware And Rural Supplies,RB18256538250,,497.48,497.48,190,ACT-HV,AUTHORISED
2025-07-21,Webflow,1753064230,,466.3,466.3,261,ACT-IN,AUTHORISED
2026-03-01,Qantas,081-2384032117,,452.38,452.38,38,ACT-IN,AUTHORISED
2025-07-31,Maleny Hardware And Rural Supplies,RB17644337340,,423.75,423.75,251,ACT-HV,AUTHORISED
2026-03-01,Qantas,081-2384058290,,415.9,415.9,38,ACT-IN,AUTHORISED
2025-08-20,Palm Island Motel,50532B310D/RC,,400,400,231,ACT-GD,AUTHORISED
2025-09-13,Repco,4120364586,,384,384,207,ACT-FM,AUTHORISED
2025-11-13,ISA Hotel,73CF02CB8D,,355.68,355.68,146,ACT-BG,AUTHORISED
2025-10-07,AGL,7088 8347 8894 1076 0988,,350.44,350.44,183,ACT-FM,AUTHORISED
2026-03-02,Qantas,081-2384105663,,329.22,329.22,37,ACT-IN,AUTHORISED
2025-06-19,Booking.com,5561077977,,314.28,314.28,293,ACT-IN,AUTHORISED
2025-08-25,Qantas,081-2375240786,,305.7,305.7,226,ACT-IN,AUTHORISED
2026-03-06,IGA,513985,,294.04,294.04,33,ACT-FM,AUTHORISED
2026-03-04,Cognition AI,58975172-0027,,286.04,286.04,35,ACT-DO,AUTHORISED
2026-03-04,Cognition AI,58975172-0027,,286.04,286.04,35,ACT-DO,AUTHORISED
2025-10-31,Maleny Hardware And Rural Supplies,RB18555475390,,285.2,285.2,159,ACT-HV,AUTHORISED
2026-02-04,Cognition AI,58975172-0025,,284.82,284.82,63,ACT-DO,AUTHORISED
2026-02-04,Cognition AI,58975172-0025,,284.82,284.82,63,ACT-DO,AUTHORISED
2025-08-19,Memories Bistro,RB17797565220,,254,254,232,ACT-GD,AUTHORISED
2026-03-01,Qantas,081-2384036864,,236.16,236.16,38,ACT-IN,AUTHORISED
2026-02-12,NRMA Blue Dolphin Yamba Holiday Resort,331654,,231,231,55,ACT-IN,AUTHORISED
2026-03-06,Maleny Landscaping Supplies,123876,,212.5,212.5,33,ACT-HV,AUTHORISED
2026-03-06,Maleny Landscaping Supplies,123875,,212.5,212.5,33,ACT-HV,AUTHORISED
2025-12-24,Woodfordia,1432-0998,,205.53,205.53,105,ACT-IN,AUTHORISED
