date,contact_name,project_code,total,gst_at_risk,bank_account
2026-02-06,Figma,ACT-IN,31.58,2.87,NAB Visa ACT #8815
2026-03-02,OpenAI,ACT-IN,31.05,2.82,NAB Visa ACT #8815
2026-03-04,Uber,ACT-IN,31.01,2.82,NAB Visa ACT #8815
2026-02-09,Uber,ACT-IN,30.81,2.8,NAB Visa ACT #8815
2026-03-03,Uber,ACT-IN,30.28,2.75,NAB Visa ACT #8815
2026-03-06,OpenAI,ACT-IN,30,2.73,NAB Visa ACT #8815
2026-03-30,Uber,ACT-IN,29.91,2.72,NAB Visa ACT #8815
2026-02-16,Firecrawl,ACT-IN,29.61,2.69,NAB Visa ACT #8815
2026-03-02,Uber,ACT-IN,29.51,2.68,NAB Visa ACT #8815
2026-03-03,Uber,ACT-IN,29.23,2.66,NAB Visa ACT #8815
2026-01-28,Uber,ACT-IN,28.47,2.59,NAB Visa ACT #8815
2026-02-18,Vercel,ACT-IN,28.36,2.58,NAB Visa ACT #8815
2026-02-18,Uber,ACT-IN,26.41,2.4,NAB Visa ACT #8815
2026-03-02,Uber,ACT-IN,26.41,2.4,NAB Visa ACT #8815
2026-03-02,Uber,ACT-IN,25.59,2.33,NAB Visa ACT #8815
2026-03-03,Uber,ACT-IN,25.32,2.3,NAB Visa ACT #8815
2026-01-30,Garmin Australasia,ACT-IN,25,2.27,NAB Visa ACT #8815
2026-03-03,Uber,ACT-IN,24.95,2.27,NAB Visa ACT #8815
2026-03-03,Uber,ACT-IN,24.61,2.24,NAB Visa ACT #8815
2026-03-03,Uber,ACT-IN,24.35,2.21,NAB Visa ACT #8815
2026-03-30,NAB,,24.05,2.19,NAB Visa ACT #8815
2026-03-19,Budget,ACT-IN,22.79,2.07,NAB Visa ACT #8815
2026-02-23,Uber,ACT-IN,22.62,2.06,NAB Visa ACT #8815
2026-02-13,Uber,ACT-IN,21.71,1.97,NAB Visa ACT #8815
2026-02-23,Only Domains,ACT-IN,19.79,1.8,NAB Visa ACT #8815
2026-01-05,Uber,ACT-IN,19.76,1.8,NAB Visa ACT #8815
2026-03-02,Uber,ACT-IN,18.98,1.73,NAB Visa ACT #8815
2026-02-16,Squarespace,ACT-IN,18.9,1.72,NAB Visa ACT #8815
2026-03-30,Uber,ACT-IN,18.31,1.66,NAB Visa ACT #8815
2026-03-27,Uber,ACT-IN,17.84,1.62,NAB Visa ACT #8815
2026-03-30,Uber,ACT-IN,17.57,1.6,NAB Visa ACT #8815
2026-03-26,NAB,ACT-HQ,17.5,1.59,NAB Visa ACT #8815
2026-02-10,Bitwarden,ACT-DO,17.4,1.58,NAB Visa ACT #8815
2026-03-30,Uber,ACT-IN,16.53,1.5,NAB Visa ACT #8815
2026-02-26,Audible,ACT-IN,16.45,1.5,NAB Visa ACT #8815
2026-03-26,Audible,ACT-IN,16.45,1.5,NAB Visa ACT #8815
2026-01-27,Audible,ACT-IN,16.45,1.5,NAB Visa ACT #8815
2026-03-30,Uber,ACT-IN,16.05,1.46,NAB Visa ACT #8815
2026-02-02,Anthropic,ACT-IN,15.85,1.44,NAB Visa ACT #8815
2026-03-30,Uber,ACT-IN,15.79,1.44,NAB Visa ACT #8815
2026-02-02,Linktree,ACT-IN,15.78,1.43,NAB Visa ACT #8815
2026-03-09,Anthropic,ACT-IN,15.77,1.43,NAB Visa ACT #8815
2026-02-16,Anthropic,ACT-IN,15.76,1.43,NAB Visa ACT #8815
2026-03-30,Uber,ACT-IN,14.79,1.34,NAB Visa ACT #8815
2026-03-02,OpenAI,ACT-IN,14.11,1.28,NAB Visa ACT #8815
2026-03-30,Uber,ACT-IN,13.44,1.22,NAB Visa ACT #8815
2026-03-13,Firecrawl,ACT-IN,13.36,1.21,NAB Visa ACT #8815
2026-03-02,Firecrawl,ACT-IN,13.15,1.2,NAB Visa ACT #8815
2026-03-06,Uber,ACT-IN,13.06,1.19,NAB Visa ACT #8815
2026-01-19,Uber,ACT-IN,13.04,1.19,NAB Visa ACT #8815
2026-01-28,Uber,ACT-IN,12.75,1.16,NAB Visa ACT #8815
2026-03-02,Firecrawl,ACT-IN,12.7,1.15,NAB Visa ACT #8815
2026-03-02,Firecrawl,ACT-IN,12.7,1.15,NAB Visa ACT #8815
2026-03-02,Firecrawl,ACT-IN,12.7,1.15,NAB Visa ACT #8815
2026-03-30,Uber,ACT-IN,12.39,1.13,NAB Visa ACT #8815
2026-03-03,Uber,ACT-IN,12.35,1.12,NAB Visa ACT #8815
2026-02-23,Squarespace,ACT-IN,11.8,1.07,NAB Visa ACT #8815
2026-03-23,Squarespace,ACT-IN,11.8,1.07,NAB Visa ACT #8815
2026-01-27,NAB Fee,ACT-IN,10.95,1,NAB Visa ACT #8815
2026-02-06,NAB,ACT-HQ,10.05,0.91,NAB Visa ACT #8815
2026-03-06,NAB,ACT-HQ,10.03,0.91,NAB Visa ACT #8815
2026-01-08,Uber,ACT-IN,9.99,0.91,NAB Visa ACT #8815
2026-02-09,Uber,ACT-IN,9.99,0.91,NAB Visa ACT #8815
2026-02-03,DocPlay,ACT-IN,9.99,0.91,NAB Visa ACT #8815
2026-03-03,DocPlay,ACT-IN,9.99,0.91,NAB Visa ACT #8815
2026-01-09,NAB Fee,ACT-IN,9.63,0.88,NAB Visa ACT #8815
2026-03-10,Anthropic,ACT-IN,9.46,0.86,NAB Visa ACT #8815
2026-03-27,Uber,ACT-IN,9.17,0.83,NAB Visa ACT #8815
2026-03-26,Uber,ACT-IN,9,0.82,NAB Visa ACT #8815
2026-03-30,Uber,ACT-IN,7.57,0.69,NAB Visa ACT #8815
2026-01-27,Railway Corporation,ACT-IN,7.32,0.67,NAB Visa ACT #8815
2026-03-24,Railway Corporation,ACT-IN,7.24,0.66,NAB Visa ACT #8815
2026-02-24,Railway Corporation,ACT-IN,7.13,0.65,NAB Visa ACT #8815
2026-03-23,NAB,ACT-HQ,6.77,0.62,NAB Visa ACT #8815
2026-01-06,NAB Fee,ACT-IN,5.59,0.51,NAB Visa ACT #8815
2026-01-05,NAB Fee,ACT-IN,5.25,0.48,NAB Visa ACT #8815
2026-03-23,NAB,ACT-HQ,5.08,0.46,NAB Visa ACT #8815
2026-03-23,NAB,ACT-HQ,5.08,0.46,NAB Visa ACT #8815
2026-02-09,NAB,ACT-HQ,5.03,0.46,NAB Visa ACT #8815
2026-01-27,NAB Fee,ACT-IN,5.03,0.46,NAB Visa ACT #8815
2026-03-24,Smarte Carte,ACT-SM,5,0.45,NAB Visa ACT #8815
2026-03-24,NAB,ACT-HQ,4.85,0.44,NAB Visa ACT #8815
2026-02-24,NAB,ACT-HQ,4.84,0.44,NAB Visa ACT #8815
2026-03-30,NAB,,4.68,0.43,NAB Visa ACT #8815
2026-03-25,NAB,ACT-HQ,4.59,0.42,NAB Visa ACT #8815
2026-03-30,NAB,,4.54,0.41,NAB Visa ACT #8815
2026-01-23,NAB Fee,ACT-IN,4.44,0.4,NAB Visa ACT #8815
2026-03-23,NAB,ACT-HQ,4.36,0.4,NAB Visa ACT #8815
2026-02-23,NAB,ACT-HQ,4.36,0.4,NAB Visa ACT #8815
2026-03-25,NAB,ACT-HQ,4.25,0.39,NAB Visa ACT #8815
2026-03-23,NAB,ACT-HQ,3.58,0.33,NAB Visa ACT #8815
2026-03-25,NAB,ACT-HQ,3.47,0.32,NAB Visa ACT #8815
2026-01-23,NAB Fee,ACT-IN,3.18,0.29,NAB Visa ACT #8815
2026-01-12,NAB Fee,ACT-IN,2.77,0.25,NAB Visa ACT #8815
2026-03-10,NAB,ACT-HQ,2.66,0.24,NAB Visa ACT #8815
2026-02-10,NAB,ACT-HQ,2.64,0.24,NAB Visa ACT #8815
2026-01-30,NAB Fee,ACT-IN,2.55,0.23,NAB Visa ACT #8815
2026-01-27,NAB Fee,ACT-IN,2.51,0.23,NAB Visa ACT #8815
2026-03-25,NAB,ACT-HQ,2.48,0.23,NAB Visa ACT #8815
2026-03-10,NAB,ACT-HQ,2.43,0.22,NAB Visa ACT #8815
2026-02-25,NAB,ACT-HQ,2.43,0.22,NAB Visa ACT #8815
2026-01-19,NAB Fee,ACT-IN,2.43,0.22,NAB Visa ACT #8815
2026-01-15,NAB Fee,ACT-IN,2.42,0.22,NAB Visa ACT #8815
2026-03-02,NAB,ACT-HQ,2.4,0.22,NAB Visa ACT #8815
2026-03-16,NAB,ACT-HQ,2.32,0.21,NAB Visa ACT #8815
2026-02-16,NAB,ACT-HQ,2.3,0.21,NAB Visa ACT #8815
2026-02-16,NAB,ACT-HQ,2.3,0.21,NAB Visa ACT #8815
2026-03-24,NAB,ACT-HQ,2.19,0.2,NAB Visa ACT #8815
2026-02-02,NAB,ACT-HQ,2.17,0.2,NAB Visa ACT #8815
